"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",298.333921419001,368.980340515948,411.412640513504,287.721884488205,379.693134849781
"log_medianIncome",1939.50427089185,2460.48371268093,2207.45754776774,1912.19504872376,2322.93804802749
"log_averageRooms",739.826852172632,797.730463320784,848.867033217925,452.15105434777,797.639425095927
"log_averageBedrooms",328.797200094015,339.380126277427,368.8540701509,246.645188398688,412.159163094246
"log_popPerHouse",636.721030034983,652.851979178482,854.317336543749,447.364753436303,700.474198760748
"log_population",284.292499769236,318.50899522097,339.014171690526,234.755894698967,337.384187145084
