"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2"
"spatial_lag2.5",6,0.348265043552292,0.0243896735106615,0.103359150761483,0.971075448163103,0.278807187242046,0.727811184409354
"spatial_lag2.5",6,0.344447668890437,0.0224095997516207,0.11007126914809,0.971424482454134,0.302566109758998,0.663192756153776
"spatial_lag2.5",6,0.339323323190113,0.0324881488592062,0.102696619434135,0.970537268340824,0.309346246483848,0.559402289811885
"spatial_lag2.5",6,0.349542281824223,0.025096824463411,0.109895986498705,0.970602472734139,0.297338045308021,0.673439496793199
"spatial_lag2.5",5,0.299421536512878,0.0120751493116807,0.0983488820757145,0.970404933408242,0.402589265903768,0.519358438044935
