"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
6,"rmse","standard",0.275422053530687,"Preprocessor1_Model6",3,3,12844,3618
1,"rmse","standard",0.328123784532039,"Preprocessor1_Model1",3,4,7483,8755
2,"rmse","standard",0.324784683106886,"Preprocessor1_Model2",3,4,7483,8755
3,"rmse","standard",0.328837150849553,"Preprocessor1_Model3",3,4,7483,8755
4,"rmse","standard",0.328046886619778,"Preprocessor1_Model4",3,4,7483,8755
5,"rmse","standard",0.328757133691084,"Preprocessor1_Model5",3,4,7483,8755
6,"rmse","standard",0.325076750800489,"Preprocessor1_Model6",3,4,7483,8755
1,"rmse","standard",0.319925839968943,"Preprocessor1_Model1",3,5,14197,2045
2,"rmse","standard",0.301018198176927,"Preprocessor1_Model2",3,5,14197,2045
3,"rmse","standard",0.29973675058083,"Preprocessor1_Model3",3,5,14197,2045
4,"rmse","standard",0.299657272414417,"Preprocessor1_Model4",3,5,14197,2045
5,"rmse","standard",0.30216527848219,"Preprocessor1_Model5",3,5,14197,2045
6,"rmse","standard",0.306743927093216,"Preprocessor1_Model6",3,5,14197,2045
1,"rmse","standard",0.30874247978229,"Preprocessor1_Model1",4,1,8986,1115
2,"rmse","standard",0.307563511733479,"Preprocessor1_Model2",4,1,8986,1115
3,"rmse","standard",0.307991105684104,"Preprocessor1_Model3",4,1,8986,1115
4,"rmse","standard",0.310906857609054,"Preprocessor1_Model4",4,1,8986,1115
5,"rmse","standard",0.310233004157453,"Preprocessor1_Model5",4,1,8986,1115
6,"rmse","standard",0.31223337447865,"Preprocessor1_Model6",4,1,8986,1115
1,"rmse","standard",0.324411184732938,"Preprocessor1_Model1",4,2,7893,1765
2,"rmse","standard",0.303418926747338,"Preprocessor1_Model2",4,2,7893,1765
3,"rmse","standard",0.298820146480428,"Preprocessor1_Model3",4,2,7893,1765
4,"rmse","standard",0.298064752374013,"Preprocessor1_Model4",4,2,7893,1765
5,"rmse","standard",0.297430696983298,"Preprocessor1_Model5",4,2,7893,1765
6,"rmse","standard",0.297615012874241,"Preprocessor1_Model6",4,2,7893,1765
1,"rmse","standard",0.57601203512164,"Preprocessor1_Model1",4,3,4464,5463
2,"rmse","standard",0.522877510627478,"Preprocessor1_Model2",4,3,4464,5463
3,"rmse","standard",0.493480991101717,"Preprocessor1_Model3",4,3,4464,5463
4,"rmse","standard",0.478731585331812,"Preprocessor1_Model4",4,3,4464,5463
5,"rmse","standard",0.464976100216383,"Preprocessor1_Model5",4,3,4464,5463
6,"rmse","standard",0.461370608850541,"Preprocessor1_Model6",4,3,4464,5463
1,"rmse","standard",0.440615382912684,"Preprocessor1_Model1",4,4,8763,1263
2,"rmse","standard",0.390276599016771,"Preprocessor1_Model2",4,4,8763,1263
3,"rmse","standard",0.372777583337217,"Preprocessor1_Model3",4,4,8763,1263
4,"rmse","standard",0.36425891749969,"Preprocessor1_Model4",4,4,8763,1263
5,"rmse","standard",0.35923463289428,"Preprocessor1_Model5",4,4,8763,1263
6,"rmse","standard",0.356696190736718,"Preprocessor1_Model6",4,4,8763,1263
1,"rmse","standard",0.376204692800255,"Preprocessor1_Model1",4,5,9525,495
