"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",293.321235675137,358.288715030034,402.910732723607,279.312214361668,372.907270967153
"log_medianIncome",2063.0939651636,2543.01933777914,2353.48709349359,1978.58076909136,2457.81411723678
"log_averageRooms",718.400659897545,775.598281101749,809.577760131822,421.466902696416,762.192700508432
"log_averageBedrooms",297.084835382363,322.59193516368,342.723509886955,228.397857495435,368.756164830022
"log_popPerHouse",618.664488402147,640.931954813228,832.284485865022,452.5328797548,700.235888294109
"log_population",266.282440852654,311.641622696655,328.850471225768,230.953422459594,322.628310114253
