"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",88.3485608164114,90.7419805923149,107.891572814282,92.3676929456413,117.947640371216
"log_medianIncome",1101.87481235248,1291.24491427395,1271.61945018791,994.993839979176,1358.91860611867
"log_averageRooms",224.686447021846,254.369562142238,236.678696019896,177.580712396794,285.895723777426
"log_averageBedrooms",73.3761424418244,85.3977647660928,84.3724800720061,72.6939212155905,100.133164759833
"log_popPerHouse",222.087998294364,206.451171564338,273.532337454077,159.529945048228,272.698154129675
"log_population",84.2234387892764,94.6325026934313,99.5879517056763,73.6728434576553,98.624003976172
"housingMedianAge_lag5",241.873017440801,372.39420744765,315.671349946731,290.027762084109,331.772668342873
"log_medianIncome_lag5",1426.76159375134,1805.29321851635,1685.38992680179,1295.02934888218,1551.60803713348
"log_averageRooms_lag5",305.080921860376,306.735212716699,367.502940513375,154.873142014458,298.069955881245
"log_averageBedrooms_lag5",111.774968751099,95.5951748837639,120.585219931101,73.0414275332733,127.551697854866
"log_popPerHouse_lag5",290.136134148055,284.505523285701,448.143103833237,157.245700345302,329.185586840848
"log_population_lag5",145.261164587465,116.269706708625,129.928054527414,80.7570189395377,174.940082441769
