"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2"
"random_no_lag",2,0.32072169930073,0.00300357552534806,0.142374996205106,0.947977392889847,0.327885931538922,0.623854982552732
"random_no_lag",3,0.339994367974953,0.0028628067048612,0.14678289724648,0.950528282123173,0.348216315508514,0.563336650243753
"random_no_lag",2,0.320178886179798,0.0012033547351415,0.142155901239869,0.946210080191847,0.383846198957098,0.459874330929569
"random_no_lag",3,0.335605648418168,0.00406913582212124,0.143922981593998,0.950717350412799,0.340540184583597,0.588021106483307
"random_no_lag",2,0.304000052693453,0.00124311156567298,0.134981170116158,0.946533412191438,0.502845484933008,0.417916522956228
