"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2"
"random_lag2.5",6,0.249247410514237,0.00267159827977248,0.103359150761483,0.971075448163103,0.278807187242046,0.727811184409354
"random_lag2.5",6,0.264295422176784,0.00273081154523947,0.11007126914809,0.971424482454134,0.302566109758998,0.663192756153776
"random_lag2.5",6,0.245758489183392,0.00190331431561767,0.102696619434135,0.970537268340824,0.309346246483848,0.559402289811885
"random_lag2.5",5,0.264527481871578,0.00280865530060748,0.111194372152073,0.97010939556114,0.298862421982247,0.672178453713512
"random_lag2.5",5,0.233104327438771,0.0012054324151633,0.0983488820757145,0.970404933408242,0.402589265903768,0.519358438044935
