"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2","outer_test_n","outer_train_n"
"spatial_no_buff_lag20_response",2,0.255900195837345,0.00707729118264342,0.101441913746345,0.971445522832308,0.254696614655744,0.76618514353337,5757,13358
"spatial_no_buff_lag20_response",3,0.268068084401494,0.0105966034942349,0.102061509816363,0.974164470502391,0.282162246362214,0.707071478144282,2085,13440
"spatial_no_buff_lag20_response",2,0.255027241648926,0.00859065281151767,0.101546080026985,0.970383523523267,0.253783515497275,0.6468859427352,2060,16518
"spatial_no_buff_lag20_response",4,0.27131500823058,0.0127521554835962,0.0986298022617629,0.974836900765645,0.277729282495801,0.701114657466294,9117,10101
"spatial_no_buff_lag20_response",2,0.258286067417981,0.00757225426116099,0.102597271192497,0.967180452822258,0.253610384306414,0.76635681094521,1621,17815
