"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2","outer_test_n","outer_train_n"
"spatial_lag20_response",2,0.255522724411233,0.00673047878777827,0.101441913746345,0.971445522832308,0.254696614655744,0.76618514353337,5757,13358
"spatial_lag20_response",3,0.269287448587871,0.00996463239110519,0.102061509816363,0.974164470502391,0.282162246362214,0.707071478144282,2085,13440
"spatial_lag20_response",2,0.25560734167075,0.00846693170853709,0.101546080026985,0.970383523523267,0.253783515497275,0.6468859427352,2060,16518
"spatial_lag20_response",3,0.272322903796115,0.0142420685123568,0.100113015077157,0.974270303483255,0.276474861506211,0.705431955854731,9117,10101
"spatial_lag20_response",2,0.258378691190853,0.00754266068214153,0.102597271192497,0.967180452822258,0.253610384306414,0.76635681094521,1621,17815
