"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",166.065548668356,153.889849952142,218.550872756422,102.905006454148,223.393516442535
"log_medianIncome",1150.7650104548,1287.77294797633,1351.85282066489,971.00027959622,1445.15907089963
"log_averageRooms",387.586131620721,355.75764717588,497.133336125433,204.090417759153,490.88402646868
"log_averageBedrooms",156.371769028559,127.357331580866,173.208608835919,80.6006714889139,222.389722263321
"log_popPerHouse",423.225649453501,365.391709562767,541.945776279587,201.909312829532,480.354408928409
"log_population",136.531139426047,126.72328518635,161.737643479584,82.462164960687,173.990935289284
"log_medianHouseValue_lag20",1868.70819011616,2579.3908799025,2159.93256439071,1985.02479100078,1976.03463670478
