"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2","outer_test_n","outer_train_n"
"spatial_lag5_response",3,0.255050458686202,0.0111015044826992,0.0941432988876028,0.974591843206579,0.233791710236539,0.800885110837433,5757,13358
"spatial_lag5_response",3,0.26179648666377,0.00883717525864485,0.0998213126271661,0.975044006123203,0.261496807529294,0.748541570874623,2085,13440
"spatial_lag5_response",3,0.246188568356641,0.0105915269544241,0.0938372230523269,0.97381583114028,0.257282408893317,0.643768524157706,2060,16518
"spatial_lag5_response",3,0.278357270522717,0.0143511492952461,0.0998118090876663,0.974297919270478,0.224462543841778,0.791266661310472,9117,10101
"spatial_lag5_response",3,0.244939433505445,0.0086835108011952,0.0933357275792775,0.971706754483545,0.265429871929794,0.743950121384576,1621,17815
