mtry,.metric,.estimator,.estimate,.config,cluster,fold,train_n,test_n
1,rmse,standard,0.314613942,Preprocessor1_Model1,1,1,12398,960
2,rmse,standard,0.293619721,Preprocessor1_Model2,1,1,12398,960
3,rmse,standard,0.28951185,Preprocessor1_Model3,1,1,12398,960
4,rmse,standard,0.288659706,Preprocessor1_Model4,1,1,12398,960
5,rmse,standard,0.288421839,Preprocessor1_Model5,1,1,12398,960
6,rmse,standard,0.288624409,Preprocessor1_Model6,1,1,12398,960
1,rmse,standard,0.302867745,Preprocessor1_Model1,1,2,12585,773
2,rmse,standard,0.245057283,Preprocessor1_Model2,1,2,12585,773
3,rmse,standard,0.236353173,Preprocessor1_Model3,1,2,12585,773
4,rmse,standard,0.235869113,Preprocessor1_Model4,1,2,12585,773
5,rmse,standard,0.237440124,Preprocessor1_Model5,1,2,12585,773
6,rmse,standard,0.241074555,Preprocessor1_Model6,1,2,12585,773
1,rmse,standard,0.271918455,Preprocessor1_Model1,1,3,12525,833
2,rmse,standard,0.252667618,Preprocessor1_Model2,1,3,12525,833
3,rmse,standard,0.25596509,Preprocessor1_Model3,1,3,12525,833
4,rmse,standard,0.259553997,Preprocessor1_Model4,1,3,12525,833
5,rmse,standard,0.262742852,Preprocessor1_Model5,1,3,12525,833
6,rmse,standard,0.264917116,Preprocessor1_Model6,1,3,12525,833
1,rmse,standard,0.252986073,Preprocessor1_Model1,1,4,4611,8747
2,rmse,standard,0.227835955,Preprocessor1_Model2,1,4,4611,8747
3,rmse,standard,0.22608884,Preprocessor1_Model3,1,4,4611,8747
4,rmse,standard,0.22771346,Preprocessor1_Model4,1,4,4611,8747
5,rmse,standard,0.228694147,Preprocessor1_Model5,1,4,4611,8747
6,rmse,standard,0.229755803,Preprocessor1_Model6,1,4,4611,8747
1,rmse,standard,0.269789164,Preprocessor1_Model1,1,5,11313,2045
2,rmse,standard,0.26374523,Preprocessor1_Model2,1,5,11313,2045
3,rmse,standard,0.265249181,Preprocessor1_Model3,1,5,11313,2045
4,rmse,standard,0.266778441,Preprocessor1_Model4,1,5,11313,2045
5,rmse,standard,0.268414271,Preprocessor1_Model5,1,5,11313,2045
6,rmse,standard,0.269992817,Preprocessor1_Model6,1,5,11313,2045
1,rmse,standard,0.266145445,Preprocessor1_Model1,2,1,9410,4030
2,rmse,standard,0.24938755,Preprocessor1_Model2,2,1,9410,4030
3,rmse,standard,0.24670799,Preprocessor1_Model3,2,1,9410,4030
4,rmse,standard,0.246997002,Preprocessor1_Model4,2,1,9410,4030
5,rmse,standard,0.247227136,Preprocessor1_Model5,2,1,9410,4030
6,rmse,standard,0.248103139,Preprocessor1_Model6,2,1,9410,4030
1,rmse,standard,0.256433912,Preprocessor1_Model1,2,2,11667,1773
2,rmse,standard,0.253011308,Preprocessor1_Model2,2,2,11667,1773
3,rmse,standard,0.256884422,Preprocessor1_Model3,2,2,11667,1773
4,rmse,standard,0.260660976,Preprocessor1_Model4,2,2,11667,1773
5,rmse,standard,0.26283909,Preprocessor1_Model5,2,2,11667,1773
6,rmse,standard,0.264650357,Preprocessor1_Model6,2,2,11667,1773
1,rmse,standard,0.242789573,Preprocessor1_Model1,2,3,7903,5537
2,rmse,standard,0.237972732,Preprocessor1_Model2,2,3,7903,5537
3,rmse,standard,0.238966937,Preprocessor1_Model3,2,3,7903,5537
4,rmse,standard,0.240378469,Preprocessor1_Model4,2,3,7903,5537
5,rmse,standard,0.241904123,Preprocessor1_Model5,2,3,7903,5537
6,rmse,standard,0.243117805,Preprocessor1_Model6,2,3,7903,5537
1,rmse,standard,0.331177641,Preprocessor1_Model1,2,4,11835,1605
2,rmse,standard,0.279382042,Preprocessor1_Model2,2,4,11835,1605
3,rmse,standard,0.266848989,Preprocessor1_Model3,2,4,11835,1605
4,rmse,standard,0.262524188,Preprocessor1_Model4,2,4,11835,1605
5,rmse,standard,0.261430573,Preprocessor1_Model5,2,4,11835,1605
6,rmse,standard,0.262762597,Preprocessor1_Model6,2,4,11835,1605
1,rmse,standard,0.31672618,Preprocessor1_Model1,2,5,12945,495
2,rmse,standard,0.292272031,Preprocessor1_Model2,2,5,12945,495
3,rmse,standard,0.289964092,Preprocessor1_Model3,2,5,12945,495
4,rmse,standard,0.291279596,Preprocessor1_Model4,2,5,12945,495
5,rmse,standard,0.291718697,Preprocessor1_Model5,2,5,12945,495
6,rmse,standard,0.292261097,Preprocessor1_Model6,2,5,12945,495
1,rmse,standard,0.310339615,Preprocessor1_Model1,3,1,15528,990
2,rmse,standard,0.284345846,Preprocessor1_Model2,3,1,15528,990
3,rmse,standard,0.278179953,Preprocessor1_Model3,3,1,15528,990
4,rmse,standard,0.276540899,Preprocessor1_Model4,3,1,15528,990
5,rmse,standard,0.275713987,Preprocessor1_Model5,3,1,15528,990
6,rmse,standard,0.275930079,Preprocessor1_Model6,3,1,15528,990
1,rmse,standard,0.326529692,Preprocessor1_Model1,3,2,15408,1110
2,rmse,standard,0.24973739,Preprocessor1_Model2,3,2,15408,1110
3,rmse,standard,0.236565858,Preprocessor1_Model3,3,2,15408,1110
4,rmse,standard,0.23555272,Preprocessor1_Model4,3,2,15408,1110
5,rmse,standard,0.238245078,Preprocessor1_Model5,3,2,15408,1110
6,rmse,standard,0.240962867,Preprocessor1_Model6,3,2,15408,1110
1,rmse,standard,0.240054218,Preprocessor1_Model1,3,3,12900,3618
2,rmse,standard,0.230613743,Preprocessor1_Model2,3,3,12900,3618
3,rmse,standard,0.230268825,Preprocessor1_Model3,3,3,12900,3618
4,rmse,standard,0.230925791,Preprocessor1_Model4,3,3,12900,3618
5,rmse,standard,0.232260856,Preprocessor1_Model5,3,3,12900,3618
6,rmse,standard,0.233079686,Preprocessor1_Model6,3,3,12900,3618
1,rmse,standard,0.229104211,Preprocessor1_Model1,3,4,7763,8755
2,rmse,standard,0.222025991,Preprocessor1_Model2,3,4,7763,8755
3,rmse,standard,0.222637184,Preprocessor1_Model3,3,4,7763,8755
4,rmse,standard,0.223681977,Preprocessor1_Model4,3,4,7763,8755
5,rmse,standard,0.224895316,Preprocessor1_Model5,3,4,7763,8755
6,rmse,standard,0.225652393,Preprocessor1_Model6,3,4,7763,8755
1,rmse,standard,0.274575715,Preprocessor1_Model1,3,5,14473,2045
2,rmse,standard,0.26490074,Preprocessor1_Model2,3,5,14473,2045
3,rmse,standard,0.264374182,Preprocessor1_Model3,3,5,14473,2045
4,rmse,standard,0.265955205,Preprocessor1_Model4,3,5,14473,2045
5,rmse,standard,0.267404016,Preprocessor1_Model5,3,5,14473,2045
6,rmse,standard,0.268678822,Preprocessor1_Model6,3,5,14473,2045
1,rmse,standard,0.270505813,Preprocessor1_Model1,4,1,8986,1115
2,rmse,standard,0.266855292,Preprocessor1_Model2,4,1,8986,1115
3,rmse,standard,0.267131261,Preprocessor1_Model3,4,1,8986,1115
4,rmse,standard,0.269245206,Preprocessor1_Model4,4,1,8986,1115
5,rmse,standard,0.270608674,Preprocessor1_Model5,4,1,8986,1115
6,rmse,standard,0.271645502,Preprocessor1_Model6,4,1,8986,1115
1,rmse,standard,0.254945817,Preprocessor1_Model1,4,2,8336,1765
2,rmse,standard,0.249882052,Preprocessor1_Model2,4,2,8336,1765
