mtry,.metric,.estimator,.estimate,.config,cluster,fold,train_n,test_n
3,rmse,standard,0.28460248,Preprocessor1_Model3,3,5,14473,2045
4,rmse,standard,0.285584558,Preprocessor1_Model4,3,5,14473,2045
5,rmse,standard,0.28727421,Preprocessor1_Model5,3,5,14473,2045
6,rmse,standard,0.288106234,Preprocessor1_Model6,3,5,14473,2045
1,rmse,standard,0.27952252,Preprocessor1_Model1,4,1,8986,1115
2,rmse,standard,0.277705611,Preprocessor1_Model2,4,1,8986,1115
3,rmse,standard,0.278885212,Preprocessor1_Model3,4,1,8986,1115
4,rmse,standard,0.280634213,Preprocessor1_Model4,4,1,8986,1115
5,rmse,standard,0.281854381,Preprocessor1_Model5,4,1,8986,1115
6,rmse,standard,0.282703899,Preprocessor1_Model6,4,1,8986,1115
1,rmse,standard,0.259479794,Preprocessor1_Model1,4,2,8336,1765
2,rmse,standard,0.257059909,Preprocessor1_Model2,4,2,8336,1765
3,rmse,standard,0.259012324,Preprocessor1_Model3,4,2,8336,1765
4,rmse,standard,0.259998706,Preprocessor1_Model4,4,2,8336,1765
5,rmse,standard,0.260378177,Preprocessor1_Model5,4,2,8336,1765
6,rmse,standard,0.260835127,Preprocessor1_Model6,4,2,8336,1765
1,rmse,standard,0.397529511,Preprocessor1_Model1,4,3,4638,5463
2,rmse,standard,0.338009459,Preprocessor1_Model2,4,3,4638,5463
3,rmse,standard,0.323114251,Preprocessor1_Model3,4,3,4638,5463
4,rmse,standard,0.316930623,Preprocessor1_Model4,4,3,4638,5463
5,rmse,standard,0.314757553,Preprocessor1_Model5,4,3,4638,5463
6,rmse,standard,0.315367449,Preprocessor1_Model6,4,3,4638,5463
1,rmse,standard,0.284964539,Preprocessor1_Model1,4,4,8838,1263
2,rmse,standard,0.250533508,Preprocessor1_Model2,4,4,8838,1263
3,rmse,standard,0.246640217,Preprocessor1_Model3,4,4,8838,1263
4,rmse,standard,0.247866963,Preprocessor1_Model4,4,4,8838,1263
5,rmse,standard,0.249274856,Preprocessor1_Model5,4,4,8838,1263
6,rmse,standard,0.250793207,Preprocessor1_Model6,4,4,8838,1263
1,rmse,standard,0.275515181,Preprocessor1_Model1,4,5,9606,495
2,rmse,standard,0.253661767,Preprocessor1_Model2,4,5,9606,495
3,rmse,standard,0.250462399,Preprocessor1_Model3,4,5,9606,495
4,rmse,standard,0.251144535,Preprocessor1_Model4,4,5,9606,495
5,rmse,standard,0.252051819,Preprocessor1_Model5,4,5,9606,495
6,rmse,standard,0.25434991,Preprocessor1_Model6,4,5,9606,495
1,rmse,standard,0.274052371,Preprocessor1_Model1,5,1,9082,8733
2,rmse,standard,0.272199598,Preprocessor1_Model2,5,1,9082,8733
3,rmse,standard,0.274016976,Preprocessor1_Model3,5,1,9082,8733
4,rmse,standard,0.27569128,Preprocessor1_Model4,5,1,9082,8733
5,rmse,standard,0.27707184,Preprocessor1_Model5,5,1,9082,8733
6,rmse,standard,0.277224677,Preprocessor1_Model6,5,1,9082,8733
1,rmse,standard,0.259561427,Preprocessor1_Model1,5,2,16137,1678
2,rmse,standard,0.251756075,Preprocessor1_Model2,5,2,16137,1678
3,rmse,standard,0.254482088,Preprocessor1_Model3,5,2,16137,1678
4,rmse,standard,0.256529503,Preprocessor1_Model4,5,2,16137,1678
5,rmse,standard,0.257312372,Preprocessor1_Model5,5,2,16137,1678
6,rmse,standard,0.258054625,Preprocessor1_Model6,5,2,16137,1678
1,rmse,standard,0.255597474,Preprocessor1_Model1,5,3,12937,4878
2,rmse,standard,0.253264691,Preprocessor1_Model2,5,3,12937,4878
3,rmse,standard,0.255714496,Preprocessor1_Model3,5,3,12937,4878
4,rmse,standard,0.259033911,Preprocessor1_Model4,5,3,12937,4878
5,rmse,standard,0.260804506,Preprocessor1_Model5,5,3,12937,4878
6,rmse,standard,0.262001408,Preprocessor1_Model6,5,3,12937,4878
1,rmse,standard,0.285647151,Preprocessor1_Model1,5,4,15768,2047
2,rmse,standard,0.278111526,Preprocessor1_Model2,5,4,15768,2047
3,rmse,standard,0.278785099,Preprocessor1_Model3,5,4,15768,2047
4,rmse,standard,0.280181096,Preprocessor1_Model4,5,4,15768,2047
5,rmse,standard,0.282344581,Preprocessor1_Model5,5,4,15768,2047
6,rmse,standard,0.28438745,Preprocessor1_Model6,5,4,15768,2047
1,rmse,standard,0.272322486,Preprocessor1_Model1,5,5,17336,479
2,rmse,standard,0.236098447,Preprocessor1_Model2,5,5,17336,479
3,rmse,standard,0.232697524,Preprocessor1_Model3,5,5,17336,479
4,rmse,standard,0.232972783,Preprocessor1_Model4,5,5,17336,479
5,rmse,standard,0.234203849,Preprocessor1_Model5,5,5,17336,479
6,rmse,standard,0.234747014,Preprocessor1_Model6,5,5,17336,479
