"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",154.772352590529,153.889849952142,193.265883620011,121.479024551982,203.970958017024
"log_medianIncome",1144.44089913642,1287.77294797633,1295.84261290072,1002.09153081435,1438.64322696582
"log_averageRooms",329.169683049612,355.75764717588,430.361485999458,251.148049461189,434.244168130023
"log_averageBedrooms",123.393386776909,127.357331580866,140.438381572541,98.2156215914448,172.006525121169
"log_popPerHouse",396.257576738822,365.391709562767,507.075663271503,218.547874892332,462.184506310234
"log_population",118.869573172881,126.72328518635,143.713646834018,88.7065782514993,155.743882870811
"log_medianHouseValue_lag20",2037.18096436573,2579.3908799025,2414.92507689516,1839.5016567814,2165.13030459045
