"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",166.065548668356,153.889849952142,218.550872756422,121.479024551982,223.393516442535
"log_medianIncome",1150.7650104548,1287.77294797633,1351.85282066489,1002.09153081435,1445.15907089963
"log_averageRooms",387.586131620721,355.75764717588,497.133336125433,251.148049461189,490.88402646868
"log_averageBedrooms",156.371769028559,127.357331580866,173.208608835919,98.2156215914448,222.389722263321
"log_popPerHouse",423.225649453501,365.391709562767,541.945776279587,218.547874892332,480.354408928409
"log_population",136.531139426047,126.72328518635,161.737643479584,88.7065782514993,173.990935289284
"log_medianHouseValue_lag20",1868.70819011616,2579.3908799025,2159.93256439071,1839.5016567814,1976.03463670478
