"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
6,"rmse","standard",0.210340274844372,"Preprocessor1_Model6",3,3,13214,3304
1,"rmse","standard",0.226747882075065,"Preprocessor1_Model1",3,4,13215,3303
2,"rmse","standard",0.214844360704644,"Preprocessor1_Model2",3,4,13215,3303
3,"rmse","standard",0.212736309821231,"Preprocessor1_Model3",3,4,13215,3303
4,"rmse","standard",0.212766478250657,"Preprocessor1_Model4",3,4,13215,3303
5,"rmse","standard",0.213356177362683,"Preprocessor1_Model5",3,4,13215,3303
6,"rmse","standard",0.213580966261298,"Preprocessor1_Model6",3,4,13215,3303
1,"rmse","standard",0.234890532182079,"Preprocessor1_Model1",3,5,13215,3303
2,"rmse","standard",0.223566616003336,"Preprocessor1_Model2",3,5,13215,3303
3,"rmse","standard",0.222889603031162,"Preprocessor1_Model3",3,5,13215,3303
4,"rmse","standard",0.223185548760725,"Preprocessor1_Model4",3,5,13215,3303
5,"rmse","standard",0.224230070751023,"Preprocessor1_Model5",3,5,13215,3303
6,"rmse","standard",0.225771068253322,"Preprocessor1_Model6",3,5,13215,3303
1,"rmse","standard",0.24067829430058,"Preprocessor1_Model1",4,1,8080,2021
2,"rmse","standard",0.229242159270906,"Preprocessor1_Model2",4,1,8080,2021
3,"rmse","standard",0.228028232818042,"Preprocessor1_Model3",4,1,8080,2021
4,"rmse","standard",0.228775591447873,"Preprocessor1_Model4",4,1,8080,2021
5,"rmse","standard",0.229628362916213,"Preprocessor1_Model5",4,1,8080,2021
6,"rmse","standard",0.230223264843262,"Preprocessor1_Model6",4,1,8080,2021
1,"rmse","standard",0.242969106779498,"Preprocessor1_Model1",4,2,8081,2020
2,"rmse","standard",0.231683179189851,"Preprocessor1_Model2",4,2,8081,2020
3,"rmse","standard",0.233423991313893,"Preprocessor1_Model3",4,2,8081,2020
4,"rmse","standard",0.235295525266599,"Preprocessor1_Model4",4,2,8081,2020
5,"rmse","standard",0.237140261828914,"Preprocessor1_Model5",4,2,8081,2020
6,"rmse","standard",0.238436958074609,"Preprocessor1_Model6",4,2,8081,2020
1,"rmse","standard",0.24315016620369,"Preprocessor1_Model1",4,3,8081,2020
2,"rmse","standard",0.227460671217766,"Preprocessor1_Model2",4,3,8081,2020
3,"rmse","standard",0.225419574066429,"Preprocessor1_Model3",4,3,8081,2020
4,"rmse","standard",0.225330498172904,"Preprocessor1_Model4",4,3,8081,2020
5,"rmse","standard",0.226299669118101,"Preprocessor1_Model5",4,3,8081,2020
6,"rmse","standard",0.227983404903919,"Preprocessor1_Model6",4,3,8081,2020
1,"rmse","standard",0.25254261280373,"Preprocessor1_Model1",4,4,8081,2020
2,"rmse","standard",0.237277971868312,"Preprocessor1_Model2",4,4,8081,2020
3,"rmse","standard",0.23464118612505,"Preprocessor1_Model3",4,4,8081,2020
4,"rmse","standard",0.234584447931476,"Preprocessor1_Model4",4,4,8081,2020
5,"rmse","standard",0.235076139584065,"Preprocessor1_Model5",4,4,8081,2020
6,"rmse","standard",0.236109513006344,"Preprocessor1_Model6",4,4,8081,2020
1,"rmse","standard",0.245624376516763,"Preprocessor1_Model1",4,5,8081,2020
2,"rmse","standard",0.233628086050551,"Preprocessor1_Model2",4,5,8081,2020
3,"rmse","standard",0.232642157943477,"Preprocessor1_Model3",4,5,8081,2020
4,"rmse","standard",0.232459306744483,"Preprocessor1_Model4",4,5,8081,2020
5,"rmse","standard",0.233259873345853,"Preprocessor1_Model5",4,5,8081,2020
6,"rmse","standard",0.233829260922849,"Preprocessor1_Model6",4,5,8081,2020
1,"rmse","standard",0.221685553135319,"Preprocessor1_Model1",5,1,14252,3563
2,"rmse","standard",0.212721564717058,"Preprocessor1_Model2",5,1,14252,3563
3,"rmse","standard",0.211717620002906,"Preprocessor1_Model3",5,1,14252,3563
4,"rmse","standard",0.212497848844757,"Preprocessor1_Model4",5,1,14252,3563
5,"rmse","standard",0.21312146095967,"Preprocessor1_Model5",5,1,14252,3563
6,"rmse","standard",0.214415425021722,"Preprocessor1_Model6",5,1,14252,3563
1,"rmse","standard",0.226995019138523,"Preprocessor1_Model1",5,2,14252,3563
2,"rmse","standard",0.217709590489237,"Preprocessor1_Model2",5,2,14252,3563
3,"rmse","standard",0.216922914168948,"Preprocessor1_Model3",5,2,14252,3563
4,"rmse","standard",0.217835594490998,"Preprocessor1_Model4",5,2,14252,3563
5,"rmse","standard",0.218628930277252,"Preprocessor1_Model5",5,2,14252,3563
6,"rmse","standard",0.220075361134539,"Preprocessor1_Model6",5,2,14252,3563
