"model","mtry","mean_rmse","SEM","train_rmse","train_R2","test_rmse","test_R2","outer_test_n","outer_train_n"
"random_lag20_response",3,0.228767509887151,0.00265469013741858,0.0982771153861586,0.972652908262949,0.256286273528986,0.76471092380498,5757,13358
"random_lag20_response",3,0.237032743060966,0.00271145364074091,0.102061509816363,0.974164470502391,0.282162246362214,0.707071478144282,2085,13440
"random_lag20_response",3,0.22798822958493,0.00244290557266201,0.0985244071080558,0.971535397207547,0.257534216660677,0.634876190257361,2060,16518
"random_lag20_response",3,0.232961421851927,0.00134887914684005,0.100113015077157,0.974270303483255,0.276474861506211,0.705431955854731,9117,10101
"random_lag20_response",3,0.230439626210914,0.00167843795292871,0.0994021605281704,0.968551567678864,0.248161482305891,0.764160158159585,1621,17815
