"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",125.043759349147,128.62719154746,151.917068014076,109.049665077385,156.980835579919
"log_medianIncome",962.062791119968,1167.72435181151,1125.96763963348,952.777152125401,1221.88490799966
"log_averageRooms",287.568334012466,314.2915755686,373.311543345472,220.950694044468,350.50325831858
"log_averageBedrooms",106.388276059751,116.31045924331,121.769093436756,92.9511519135736,146.897738744083
"log_popPerHouse",260.191277249797,253.437325358453,351.197647718932,185.126331921857,304.916355783302
"log_population",108.568492105568,117.398228762595,127.245396184013,89.251914191371,134.063916365862
"log_medianHouseValue_lag5",2460.32185754568,2899.15642469372,2880.1891211237,1968.71941130303,2724.02119509488
