mtry,.metric,.estimator,.estimate,.config,cluster,fold,train_n,test_n
3,rmse,standard,0.311844102,Preprocessor1_Model3,3,5,14473,2045
4,rmse,standard,0.311458631,Preprocessor1_Model4,3,5,14473,2045
5,rmse,standard,0.312159149,Preprocessor1_Model5,3,5,14473,2045
6,rmse,standard,0.314141958,Preprocessor1_Model6,3,5,14473,2045
1,rmse,standard,0.305809057,Preprocessor1_Model1,4,1,8986,1115
2,rmse,standard,0.303206613,Preprocessor1_Model2,4,1,8986,1115
3,rmse,standard,0.305680371,Preprocessor1_Model3,4,1,8986,1115
4,rmse,standard,0.310685601,Preprocessor1_Model4,4,1,8986,1115
5,rmse,standard,0.314472561,Preprocessor1_Model5,4,1,8986,1115
6,rmse,standard,0.318785924,Preprocessor1_Model6,4,1,8986,1115
1,rmse,standard,0.314371697,Preprocessor1_Model1,4,2,8336,1765
2,rmse,standard,0.29327457,Preprocessor1_Model2,4,2,8336,1765
3,rmse,standard,0.291216053,Preprocessor1_Model3,4,2,8336,1765
4,rmse,standard,0.290678368,Preprocessor1_Model4,4,2,8336,1765
5,rmse,standard,0.290457439,Preprocessor1_Model5,4,2,8336,1765
6,rmse,standard,0.291232004,Preprocessor1_Model6,4,2,8336,1765
1,rmse,standard,0.558002483,Preprocessor1_Model1,4,3,4638,5463
2,rmse,standard,0.489715025,Preprocessor1_Model2,4,3,4638,5463
3,rmse,standard,0.459593076,Preprocessor1_Model3,4,3,4638,5463
4,rmse,standard,0.446944629,Preprocessor1_Model4,4,3,4638,5463
5,rmse,standard,0.435635678,Preprocessor1_Model5,4,3,4638,5463
6,rmse,standard,0.4290717,Preprocessor1_Model6,4,3,4638,5463
1,rmse,standard,0.443971031,Preprocessor1_Model1,4,4,8838,1263
2,rmse,standard,0.396017822,Preprocessor1_Model2,4,4,8838,1263
3,rmse,standard,0.380014121,Preprocessor1_Model3,4,4,8838,1263
4,rmse,standard,0.372821312,Preprocessor1_Model4,4,4,8838,1263
5,rmse,standard,0.370415913,Preprocessor1_Model5,4,4,8838,1263
6,rmse,standard,0.368958414,Preprocessor1_Model6,4,4,8838,1263
1,rmse,standard,0.400481561,Preprocessor1_Model1,4,5,9606,495
2,rmse,standard,0.34938935,Preprocessor1_Model2,4,5,9606,495
3,rmse,standard,0.327351625,Preprocessor1_Model3,4,5,9606,495
4,rmse,standard,0.3206769,Preprocessor1_Model4,4,5,9606,495
5,rmse,standard,0.319043497,Preprocessor1_Model5,4,5,9606,495
6,rmse,standard,0.318227752,Preprocessor1_Model6,4,5,9606,495
1,rmse,standard,0.299808813,Preprocessor1_Model1,5,1,9082,8733
2,rmse,standard,0.282033579,Preprocessor1_Model2,5,1,9082,8733
3,rmse,standard,0.278033682,Preprocessor1_Model3,5,1,9082,8733
4,rmse,standard,0.275022743,Preprocessor1_Model4,5,1,9082,8733
5,rmse,standard,0.275359966,Preprocessor1_Model5,5,1,9082,8733
6,rmse,standard,0.275031384,Preprocessor1_Model6,5,1,9082,8733
1,rmse,standard,0.356295258,Preprocessor1_Model1,5,2,16137,1678
2,rmse,standard,0.3147682,Preprocessor1_Model2,5,2,16137,1678
3,rmse,standard,0.305937672,Preprocessor1_Model3,5,2,16137,1678
4,rmse,standard,0.30318517,Preprocessor1_Model4,5,2,16137,1678
5,rmse,standard,0.302309203,Preprocessor1_Model5,5,2,16137,1678
6,rmse,standard,0.301500437,Preprocessor1_Model6,5,2,16137,1678
1,rmse,standard,0.304443587,Preprocessor1_Model1,5,3,12937,4878
2,rmse,standard,0.278435221,Preprocessor1_Model2,5,3,12937,4878
3,rmse,standard,0.26880041,Preprocessor1_Model3,5,3,12937,4878
4,rmse,standard,0.265218663,Preprocessor1_Model4,5,3,12937,4878
5,rmse,standard,0.263551276,Preprocessor1_Model5,5,3,12937,4878
6,rmse,standard,0.26265509,Preprocessor1_Model6,5,3,12937,4878
1,rmse,standard,0.324523683,Preprocessor1_Model1,5,4,15768,2047
2,rmse,standard,0.305545276,Preprocessor1_Model2,5,4,15768,2047
3,rmse,standard,0.299567224,Preprocessor1_Model3,5,4,15768,2047
4,rmse,standard,0.298323562,Preprocessor1_Model4,5,4,15768,2047
5,rmse,standard,0.298428879,Preprocessor1_Model5,5,4,15768,2047
6,rmse,standard,0.299736054,Preprocessor1_Model6,5,4,15768,2047
1,rmse,standard,0.423263867,Preprocessor1_Model1,5,5,17336,479
2,rmse,standard,0.344404634,Preprocessor1_Model2,5,5,17336,479
3,rmse,standard,0.317177387,Preprocessor1_Model3,5,5,17336,479
4,rmse,standard,0.306164485,Preprocessor1_Model4,5,5,17336,479
5,rmse,standard,0.30273968,Preprocessor1_Model5,5,5,17336,479
6,rmse,standard,0.301347796,Preprocessor1_Model6,5,5,17336,479
