local_authority,IMD,five_a_day,active,pop_density,age45orOver,ethnicityWhite,male,facilities_per1000
East Lindsey,29.89,43.56,63.3,80.69,59.39,97.75,48.86,2.41
East Riding of Yorkshire,15.6,37.91,68.14,142.54,55.42,97.35,49.05,2.57
East Staffordshire,19.03,27.39,70.23,312.49,45.3,86.32,50.02,2.38
East Suffolk,19.56,36.66,73.21,198.51,55.67,96.17,48.7,2.7
Eastbourne,22.11,34.57,66.81,2339.82,50.68,90.82,47.73,2.16
Eastleigh,10.19,32.75,69.03,1698.72,45.77,92.41,48.88,2.09
Eden,16.33,43.8,72.19,25.09,57.2,98.11,49.59,3.99
Elmbridge,7.94,40.75,78.6,1443.45,46.21,86.12,48.3,2.98
Enfield,25.78,27.98,62.71,4127.05,38.96,52.09,47.73,1.54
Epping Forest,15.07,34.31,67.85,389.91,46.73,84.06,48.59,2.16
Epsom and Ewell,8.83,32.63,68.99,2377.34,45.04,79.46,48.43,2.52
Erewash,18.82,34.5,66.94,1052.02,48.92,95.45,49.11,2.29
Exeter,16.21,39.03,75.67,2835.2,38.64,90.3,48.71,2.21
Fareham,9.02,36.57,67.4,1567.21,52.88,95.62,48.72,1.96
Fenland,25.43,29.23,59.59,186.81,49.95,95.92,48.99,2.01
Folkestone & Hythe,24.15,31.83,62.69,317.69,52.88,92.58,48.81,1.99
Forest of Dean,18.01,34.35,67.83,165.44,53.74,97.54,48.92,2.85
Fylde,15.87,33.11,68.85,490.14,57.03,96.26,48.98,2.48
Gateshead,28.22,25.33,61.23,1418.71,47.19,93.54,49.04,1.95
Gedling,14.89,34.76,68.16,985.52,49.01,89.47,48.51,1.94
Gloucester,21.81,29.17,67.97,3199.78,42.4,84.93,49.47,2.33
Gosport,20.54,33.57,67.63,3344.23,48.53,95.34,48.94,1.93
Gravesham,21.41,32.2,61.51,1079.49,42.63,76.61,48.86,2.38
Great Yarmouth,33.1,32.68,62.52,569.49,51.14,94.6,49.02,2.06
Greenwich,24.46,29.67,61.4,6105,33.71,55.7,48.6,1.47
Guildford,9.4,33.15,72.36,554.94,43.13,86.87,49.23,2.59
Hackney,32.53,32.71,71.94,14737.12,28.55,53.14,47.79,0.73
Halton,32.32,23.72,63.1,1640.54,45.69,96.5,48.98,2.26
Hambleton,11.99,41.99,67.8,70.11,56.94,97.88,48.77,3.03
Hammersmith and Fulham,22.27,31.57,74.3,11188.98,33.11,63.16,46.92,1.28
Harborough,8.01,39.64,68.68,161.44,51.01,91.01,49.53,2.26
Haringey,27.96,36.7,68.28,9002.04,35.33,56.99,48.16,1.17
Harlow,21.41,25.41,60.46,2858.13,38.66,82.73,48.65,2.14
Harrogate,10.9,33.94,73.34,123.51,52.59,95.44,48.97,3.16
Harrow,15.03,25.66,62.05,4999.85,39.34,36.46,49.31,1.36
Hart,5.54,38.34,75.04,453.43,47.75,92.5,49.44,2.56
Hartlepool,35.04,24.77,59.49,999.73,47.28,96.46,48.39,2.35
Hastings,34.28,32.61,67.14,3113.78,48.39,91.43,48.51,1.29
Havant,21.81,34.32,63.32,2281.74,51.67,95.91,48.29,1.68
Havering,16.79,31.04,61.16,2319.71,42.52,75.3,48.23,1.42
Herefordshire,18.89,40.69,71.24,88.83,54.27,96.91,49.11,3.06
Hertsmere,13.94,35.37,64.77,1042.62,44.2,77.11,48.04,3.12
High Peak,15.64,36.6,72.45,171.81,52.06,97.45,49.14,2.25
Hillingdon,18.22,27.39,64.94,2670.85,37.38,48.18,49.38,1.81
Hinckley and Bosworth,13.46,35.46,68.11,382.26,50.05,94.32,49.31,2.58
Horsham,9.89,37.9,72.6,274.34,51.07,93.64,48.8,2.81
Hounslow,21.49,24.41,61.14,4854.18,35.91,44.1,49.69,1.72
Huntingdonshire,12.55,33.49,67.58,197.52,47.74,92.42,49.59,2.3
Hyndburn,34.33,27.17,60.49,1111.51,44.11,82.67,49.22,1.95
Ipswich,25.89,33,67.13,3449.97,40.93,84.33,49.64,1.9
Isle of Wight,23.29,38.82,70.11,374.3,57.55,96.98,48.48,2.37
Islington,27.54,42.99,71.8,16697.4,30.68,62.22,47.69,1.14
Kensington and Chelsea,21.53,40.6,63.38,12932.44,41.95,63.75,46.77,1.31
King's Lynn and West Norfolk,23.72,30.77,59.74,105.86,52.94,95.62,48.83,2.4
Kingston upon Hull,40.56,26.86,58.7,3626.72,39.9,91.75,49.9,2.06
