fold,test_mae,test_r2,best_tune_alpha,best_tune_mae
1,2.044370444395181,0.8266538658727465,49.770235643321136,0.6656670679846086
2,2.0480871973481087,0.7446380689929817,70.54802310718645,0.6495816291425697
3,2.3174707497208478,0.7595102229600867,44.30621457583877,0.6615813327452325
4,2.759892388849538,0.5473324406849928,49.770235643321136,0.6898923831467281
5,1.6864910355137774,0.8216347467479489,49.770235643321136,0.6649130871427171
6,1.8578378645719047,0.8567303733612555,44.30621457583877,0.6659587036949857
7,2.9714706141932723,0.6653142298312462,55.90810182512222,0.6607398343844201
8,3.149350242887271,0.639922790744361,62.80291441834247,0.6698567600118988
9,1.6117630680235109,0.7422842708397404,39.442060594376564,0.6780835091073182
10,2.0026321878905975,0.6152567239007208,55.90810182512222,0.667783482902404
11,2.2969928566388846,0.6109670233833284,44.30621457583877,0.6721562035778684
12,2.7030329045658954,0.7299763367163212,44.30621457583877,0.6695529253633971
13,1.8920533949666922,0.7882211583355982,49.770235643321136,0.6613835562206232
14,2.127771280056178,0.40227940546738594,39.442060594376564,0.7008102263413921
15,2.7209986632710064,0.4802085926832794,44.30621457583877,0.6806245067510721
16,1.2137965343012107,0.8538397595828413,44.30621457583877,0.6705610319624296
17,2.2765949120368543,0.5632062708344234,49.770235643321136,0.6737220682763677
18,2.11845727181069,0.19029717959834225,39.442060594376564,0.6691062482887192
19,2.655422154357445,0.6101194897221531,44.30621457583877,0.6877231032828055
20,2.6506796245670468,0.6873868527714208,39.442060594376564,0.6794319010941086
