fold,test_mae,test_r2,best_tune_alpha,best_tune_mae
1,2.7975941511874716,0.5946449534412879,70.54802310718645,0.6668274905272163
2,2.087624911035472,0.7212283294117687,27.825594022071257,0.6886365833903866
3,1.7614831597664398,0.635064319141801,49.770235643321136,0.6778464436255864
4,2.014294360917679,0.6664575095559355,44.30621457583877,0.6797287681446796
5,1.6338765831743771,0.571580081525703,39.442060594376564,0.6700466107404877
6,2.510031281051826,0.6852210545013139,35.11191734215127,0.6924405803051548
7,1.951832174788068,0.664314508070815,44.30621457583877,0.6924345899723583
8,3.1885684511114807,0.43069137290648785,49.770235643321136,0.6986563317952149
9,2.3345059626434295,0.45826639955864423,44.30621457583877,0.6758511872289761
10,2.618543577560779,0.5798243979783096,39.442060594376564,0.6840104572702793
