fold,test_mae,test_r2,best_tune_max_feat,best_tune_mae
1,2.532834920634901,0.6383878901314775,0.25,0.6327043302922122
2,2.040840476190477,0.714210550481599,0.25,0.6588779127281488
3,1.7421043478260934,0.6844819216406907,0.25,0.6548736477204875
4,2.1253600000000006,0.6189700493898644,0.25,0.6635553882718037
5,1.667185714285718,0.4982799027801227,0.5,0.6471499546286792
6,2.383600000000001,0.6850959578652331,0.25,0.6715939007740694
7,2.304854545454539,0.5899893300795405,0.25,0.6678747671890207
8,3.320613636363639,0.31643192501945927,0.75,0.6835171435909957
9,2.654914285714281,0.3342825769062293,0.5,0.6534152606268125
10,2.6305567567567527,0.5470284655932248,1.0,0.6775590765360613
