fold,test_mae,test_r2,best_tune_max_feat,best_tune_mae
1,2.1411437500000052,0.8102219052879698,0.5,0.6401018083851264
2,2.176618749999997,0.7438005432719157,0.25,0.6446288726863784
3,2.1425374999999938,0.7786870406734236,0.25,0.6347430638081394
4,2.4818687499999954,0.6111820774674581,0.25,0.6650734302945516
5,1.5751562500000014,0.847906544919237,0.25,0.6497762895660091
6,1.8097874999999988,0.8270226915985944,0.5,0.6389474029718677
7,3.0069624999999998,0.645346448254684,0.5,0.639576281734659
8,3.4731866666666593,0.5388429941399637,0.25,0.6582925357858116
9,1.7036733333333436,0.6676332882100573,0.5,0.6572547223437206
10,1.893273333333337,0.5860945700552211,0.5,0.6552091121002038
11,2.5759466666666655,0.47386085866715033,0.75,0.6551790188106645
12,2.6211466666666636,0.7011172937456882,0.25,0.6456291562203669
13,2.26272666666667,0.7012249990535416,0.25,0.6402403943536582
14,1.9178399999999949,0.5140395296702351,0.25,0.6796323051184595
15,3.0658133333333386,0.26318577635832674,0.5,0.6592445092113951
16,1.6225266666666665,0.7697822644650986,0.25,0.6606794461509803
17,2.4652666666666665,0.5056909505658793,0.25,0.654033030292887
18,2.565126666666676,-0.1317459337076592,0.75,0.6535185955758172
19,2.843579999999992,0.6138039020552268,0.25,0.662083503218141
20,2.6496133333333325,0.627194522034336,0.75,0.6568013714184154
