fold,test_mae,test_r2,best_tune_alpha,best_tune_mae
1,2.6142625328156566,-0.007802179035537149,39.442060594376564,0.6785071186043828
2,2.859594497121912,0.7041706467948217,62.80291441834247,0.6139215528520178
3,2.43209930155786,0.37719858591806044,44.30621457583877,0.6551553969825866
4,1.869771167768065,0.756564527439994,44.30621457583877,0.675798283435681
5,2.1920813075447905,0.7277178793210136,55.90810182512222,0.6179539143480735
6,2.2962364739265904,0.5965306375270883,35.11191734215127,0.6870949181271555
7,1.9813856658759703,0.32043322519071626,44.30621457583877,0.6880222997121512
8,1.7987924620850748,0.47766346993298037,44.30621457583877,0.6742386993629218
9,1.333093972816748,0.9027303462714713,49.770235643321136,0.6745488707392133
10,2.837938668239812,0.624337579943775,62.80291441834247,0.6772166410873462
11,2.3578095150413545,0.3267902348199323,35.11191734215127,0.6598980996978965
12,1.6232463288681667,0.6766288373715874,55.90810182512222,0.6792661021199716
13,1.753416478406806,0.7251285664777983,39.442060594376564,0.6630597738207418
14,2.171392766990172,0.5792816899712215,79.24828983539169,0.6704629844057459
15,2.2734826200761207,0.6125707841019399,39.442060594376564,0.6758085012853122
16,4.106053340464362,0.07424920772823307,39.442060594376564,0.6926830830587235
17,2.678678036258985,0.7014016313370479,44.30621457583877,0.6792868488739041
18,2.2085779968528114,0.6299653976155521,62.80291441834247,0.689627438153648
19,2.244509577676333,0.759202554862576,39.442060594376564,0.688025363483147
20,1.4696956903503362,0.6532106719565021,44.30621457583877,0.6631347911141438
