local_authority,active,BNG_E,BNG_N,LONG,LAT,GlobalID,geometry
Crawley,58.23,526390,137581,-0.19533,51.1236,4495e928-6584-4749-b382-0b5894f88ec7,"POLYGON ((530127.0997000001 141732.19889999926, 530654.9979999997 141616.10209999979, 530379.5965 139748.2968000006, 529957.8038999997 135340.4985000007, 527988.0999999996 133809.2968000006, 525325.1019000001 133439.30269999988, 524772.3036000002 134870.3030999992, 523859.699 134601.89990000054, 523519.3015999999 135938.89719999954, 526001.8978000004 139298.09569999948, 522200.80090000015 139201.8032000009, 522148.60140000004 139766.9014999997, 525000.0240000002 140316.35419999994, 525127.5007999996 141097.30059999973, 527574.0990000004 142425.20050000027, 530127.0997000001 141732.19889999926))"
Croydon,61.94,533922,164744,-0.07761,51.366,53cc3bd6-f3bf-456a-92bd-dc697422fdb0,"POLYGON ((533699.4496999998 170735.58369999938, 534467.5536000002 168932.45050000027, 536715.648 167316.70189999975, 536723.2144999998 166046.66000000015, 537421.5575000001 166327.90059999935, 539593.5636999998 160795.78050000034, 536768.3975 161784.49899999984, 535882.0039999997 159951.90359999985, 533965.5961999996 159603.30340000056, 533165.2975000003 157546.50210000016, 530898.1036 155850.7974999994, 529950.5976999998 157386.9978, 528694.1988000004 157410.20109999925, 528553.7280000001 159655.54099999927, 529310.8450999996 159897.99540000036, 529328.2868999997 161967.44879999943, 531249.3487999998 162425.2684000004, 529904.494 167407.5809000004, 530593.6409 168177.6283999998, 530302.4244999997 169806.65130000003, 531320.7297999999 171048.77040000074, 533699.4496999998 170735.58369999938))"
Dacorum,70.76,500084,208745,-0.55098,51.7685,1e0fb9d2-dc9f-4ea1-9b35-1158c827fb0c,"POLYGON ((509990.7971000001 216979.79949999973, 509216.0005000001 216423.59869999997, 509405.4967 214572.3986000009, 508420.6984000001 213180.19710000046, 509598.8021999998 212484.09640000015, 509524.29980000015 211470.6964999996, 507657.6014999999 210951.19519999996, 508932.29619999975 208654.5025999993, 509044.7011000002 205858.40300000086, 507147.3970999997 204114.90210000053, 507884.1015999997 201402.6984000001, 506249.69959999993 200738.19859999977, 502672.5963000003 201913.10229999945, 502121.1007000003 199180.10459999926, 500431.39910000004 199208.39650000073, 500723.49679999985 200788.00439999998, 499364.10059999954 202436.8024000004, 500223.49980000034 203695.7020999994, 499976.0985000003 204911.8038999997, 498503.3986999998 205211.09830000065, 497676.6004999997 206880.20050000027, 495853.40309999976 206323.59979999997, 491899.2037000004 208334.00439999998, 490430.40380000044 211219.7982999999, 490745.49700000044 212098.39680000022, 489057.4031999996 214332.5973000005, 488073.19849999994 214007.5002999995, 486545.2980000004 216273.1018000003, 488231.60259999987 218279.3975000009, 489872.0976999998 218529.89580000006, 490552.4967 217552.29560000077, 489970.6014999999 216637.3975000009, 491969.19600000046 213858.10309999995, 494321.1986999996 214362.49870000035, 497872.3958999999 212979.50459999964, 499280.89969999995 215585.69859999977, 499772.6021999996 215220.50310000032, 502157.6014999999 212863.2979000006, 503336.70299999975 214040.4009000007, 502698.7991000004 215188.30230000056, 503319.8996000001 216413.9014999997, 505409.5031000003 217422.30289999954, 504902.3989000004 218264.90169999935, 505439.0038999999 218562.49650000036, 507035.00040000025 217694.0951000005, 508821.2022000002 218022.20109999925, 509990.7971000001 216979.79949999973))"
Darlington,65.39,428029,515648,-1.56835,54.5353,35efd5a3-5c86-4c7d-8f2c-7dfbce2bdaf7,"POLYGON ((436388.00239999965 522354.19710000046, 437351.70160000026 523257.4985000007, 438396.40029999986 522220.29539999925, 438161.3005999997 519001.2969000004, 435879.7026000004 517964.5035999995, 435714.99930000026 515437.0971000008, 437547.00239999965 513968.3975000009, 436707.00380000006 510384.60339999944, 435163.89940000046 512200.3036000002, 434127.1984000001 511835.4979999997, 435127.8025000002 511126.1010999996, 434847.0005000001 508818.60160000063, 435526.50069999974 507985.3002000004, 434922.5993999997 507466.1986999996, 435360.7997000003 506474.4025999997, 434327.0998999998 506817.10449999943, 434096.69990000036 508845.7039000001, 432560.70270000026 509038.49870000035, 433023.80310000014 510212.7026000004, 431764.8976999996 508958.80150000006, 431577.2977999998 509932.6027000006, 430623.7977 510041.70150000043, 431217.5987999998 508513.79890000075, 429542.7960000001 508523.99599999934, 428915.99820000026 510048.89949999936, 427107.89749999996 511386.79649999924, 427346.4024 512288.0985000003, 426526.8021 512184.59809999913, 427221.30009999964 513139.5047999993, 425826.3016999997 512879.4991999995, 425247.69629999995 513924.4001000002, 423837.0982999997 513261.49990000017, 423801.80119999964 514513.5014999993, 422449.3968000002 514427.1962000001, 422232.89800000004 515532.0998999998, 419709.2991000004 515678.29810000025, 419162.99789999984 517140.99939999916, 420069.5011 517931.90300000086, 418897.3008000003 518698.60349999927, 418911.4988000002 519918.50430000015, 419872.19680000003 521341.59699999914, 420823.70160000026 521243.3950999994, 420606.6997999996 524780.8025000002, 425492.6983000003 524779.8027999997, 425536.7022000002 523211.00180000067, 426954.90220000036 524003.1951000001, 426369.5027999999 522285.0968999993, 427487.09609999973 520635.9989, 429000.79870000016 520883.89800000004, 428617.7991000004 521969.1973000001, 430674.6037999997 522465.1952999998, 434423.5011 522948.6969000008, 435529.0979000004 521874.30450000055, 436388.00239999965 522354.19710000046))"
Dartford,67.74,556167,172917,0.245276,51.4337,a7c54335-31a0-4a86-bb5a-23c574b1f867,"POLYGON ((560920.5219999999 176534.7703000009, 560645.4018999999 175205.5973000005, 561768.2966999998 174101.10339999944, 563215.4039000003 168649.60390000045, 562687.1015999997 167868.3975000009, 558316.3039999995 170058.60060000047, 556288.2993000001 170024.4003999997, 555807.4967999998 168739.49819999933, 553667.3015999999 168735.19940000027, 554057.5980000002 169637.90100000054, 553056.1034000004 171068.6015000008, 549830.7015000004 169941.5041000005, 549962.8038999997 172412.49679999985, 550557.8994000005 172175.0047999993, 551102.1971000005 173822.70309999958, 553184.3965999996 175118.40220000036, 554339.9230000004 177877.24980000034, 558154.8995000003 175196.1004000008, 559999.9888000004 176089.19600000046, 560920.5219999999 176534.7703000009))"
Derby,63.38,435609,335375,-1.47189,52.9146,7b041808-6635-4248-9b3b-715d3b3c06f4,"POLYGON ((441245.2008999996 333953.99599999934, 440270.1975999996 333833.9003999997, 439198.80140000023 332054.49980000034, 438902.90270000044 329886.30040000007, 437380.6995000001 329455.1038000006, 436168.99710000027 330697.49819999933, 434123.0016000001 330406.7014000006, 433532.80370000005 332045.3024000004, 430933.49870000035 332550.29780000076, 429896.09690000024 335340.39919999987, 430748.99899999984 336405.8041999992, 433161.8996000001 337895.09789999947, 433988.0959000001 341063.3010000009, 435383.39940000046 341078.69659999944, 435804.2026000004 339383.5019000005, 439786.89690000005 339376.8037999999, 438813.40249999985 337736.70329999924, 441570.8973000003 336678.29619999975, 441245.2008999996 333953.99599999934))"
Derbyshire Dales,74.68,419697,358493,-1.70711,53.1233,77fa04a1-e077-4979-a041-b6323e8c411b,"POLYGON ((426809.0965 379448.5033999998, 426928.89719999954 377717.89880000055, 428186.49990000017 376691.90249999985, 427476.3032999998 375827.6997999996, 427783.7039999999 374044.8002000004, 429062.39749999996 373911.1984000001, 429644.4988000002 372594.49530000053, 428657.30119999964 371637.4992999993, 428871.90359999985 369649.0984000005, 432453.6983000003 367399.9023000002, 430271.8985000001 367075.4951000009, 430170.30289999954 365465.8958999999, 433859.29980000015 359761.8986000009, 431986.30229999963 358243.3033000007, 431492.5963000003 356020.79949999973, 432773.20270000026 355237.6037000008, 432290.60280000046 354441.70150000043, 431335.0991000002 354513.7008999996, 430030.1037999997 352511.20409999974, 427481.8027999997 350906.90330000035, 428191.39749999996 349527.3981999997, 427019.0981999999 348204.9967, 427943.6003999999 347088.4963000007, 429186.7000000002 347327.39800000004, 428533.5016000001 346791.30140000023, 429164.39719999954 346351.3972999994, 428358.09609999973 346456.7971999999, 428497.60259999987 345053.19889999926, 426992.10390000045 344639.6973000001, 426806.90330000035 343194.3010000009, 428876.0014000004 341933.00210000016, 428907.39859999996 341106.7985999994, 427005.7000000002 340653.1984000001, 426495.00090000033 338935.4001000002, 423600.4979999997 338630.5974000003, 423039.70189999975 333957.8049999997, 421732.49700000044 336065.3016999997, 419713.7019999996 336103.4008000009, 419299.70100000035 334720.1966999993, 416979.20270000026 335034.89660000056, 417819.69600000046 333116.39580000006, 417194.9018000001 330163.20109999925, 415088.2969000004 331838.4015999995, 411656.99930000026 331897.2048000004, 409739.6020999998 336227.3953000009, 411533.90050000045 338713.7036000006, 411728.30260000005 342205.0042000003, 416042.5968000004 344750.59559999965, 416261.70100000035 348918.40249999985, 414914.6972000003 349751.6040000003, 415132.8037999999 351366.50180000067, 413877.89719999954 354593.29810000025, 414577.20210000034 356201.09789999947, 412013.5981999999 359962.70109999925, 412633.0991000002 361926.59899999946, 409402.9974999996 365710.79580000043, 406868.5976 366989.3998000007, 405535.3959999997 368993.4960999992, 406055.79949999973 369406.69779999927, 406936.0998999998 368157.19549999945, 407646.2965000002 368968.20329999924, 407936.00320000015 367363.50269999914, 408597.3973000003 368738.99899999984, 410624.80009999964 366418.3032000009, 411346.9025999997 366734.3027999997, 411367.0039999997 368187.49679999985, 408491.2008999996 369983.6027000006, 410480.89910000004 372609.1010999996, 414088.0968000004 373285.8973999992, 412264.0996000003 376190.3959999997, 411917.7988 378442.1015000008, 416033.8981999997 382395.39990000054, 418061.80399999954 382446.09530000016, 418244.39910000004 380278.8957000002, 420050.1994000003 380784.60089999996, 420283.5016999999 382029.4046, 421984.4001000002 383656.99870000035, 421834.4966000002 385884.30120000057, 423119.49760000035 388395.5022999998, 422485.60080000013 385575.99939999916, 427356.4036999997 383301.3004999999, 425909.70050000027 382992.59889999963, 424562.6966000004 380495.7036000006, 425047.1021999996 380007.00349999964, 426128.6975999996 380707.0031000003, 426809.0965 379448.5033999998))"
Doncaster,62.32,459167,403735,-1.10894,53.527,03c5eba1-7921-4533-8bdd-0dcc01a7d7ee,"POLYGON ((475119.49849999975 416283.49950000085, 473058.5959999999 410194.1026000008, 472872.2988 408571.7969000004, 473546.3985000001 408341.30289999954, 472898.1966000004 406255.89990000054, 473510.5985000003 405103.4997000005, 470114.1032999996 404292.6018000003, 469724.79619999975 402396.80450000055, 470917.69990000036 402082.30450000055, 470701.1020999998 401171.59520000033, 469557.00100000016 399141.3964000009, 467405.99650000036 397691.6013999991, 466817.1012000004 393817.00049999915, 465592.70139999967 392617.00400000066, 464520.00239999965 392479.9032000005, 464482.3967000004 393122.99909999967, 461200.2028000001 392622.1024999991, 458861.4994999999 390420.80260000005, 456866.90380000044 390950.1010999996, 457510.2988 392310.60170000046, 455884.19969999976 392276.7014000006, 455218.9963999996 393487.20490000024, 450717.3002000004 393153.6004000008, 449359.09949999955 395612.49650000036, 449879.9977000002 398047.9992999993, 448549.5993999997 399038.09589999914, 446658.1989000002 397877.6981000006, 447266.7008999996 399603.10419999994, 445866.4008999998 400356.19859999977, 445691.20160000026 402119.3038999997, 447754.39630000014 402439.80220000073, 447418.79750000034 403578.89609999955, 448107.7960999999 403928.1962000001, 446902.5990000004 404580.6994000003, 446630.3964999998 406323.3005999997, 444692.09810000006 407048.9028999992, 443213.9978 409834.89540000074, 445931.2977999998 408972.5022, 447221.1963999998 409582.19769999944, 449208.99820000026 410855.9031000007, 449827.6003999999 413572.39550000057, 451088.89690000005 413644.09500000067, 450841.0007999996 414112.7008999996, 451854.2034 414469.9986000005, 452336.20139999967 416582.60390000045, 453635.40050000045 415790.9004999995, 456139.9036999997 416583.30370000005, 457270.10369999986 415478.7997999992, 458154.40299999993 417046.30110000074, 461831.2962999996 417334.7985999994, 462971.39859999996 418147.2960000001, 469695.3036000002 418585.2006000001, 475119.49849999975 416283.49950000085))"
Dorset,73.84,370871,99796,-2.41467,50.797,db384215-e3f3-4f15-a250-dcebe7b4d88d,"MULTIPOLYGON (((403150.00019999966 87620.69920000061, 401258.19969999976 87492.60019999929, 400937.19959999993 88090.6035999991, 401920.20019999985 88621.80089999922, 403051.29920000024 88366.90450000018, 403150.00019999966 87620.69920000061)), ((377269.80119999964 131201.7031999994, 381274.5016000001 129969.49589999951, 383121.4035 130234.10019999929, 386549.29590000026 126502.29839999974, 387987.10259999987 122424.09579999931, 391687.9972000001 119872.09630000032, 391621.30289999954 118020.4963000007, 392944.6023000004 116177.60380000062, 395297.29750000034 116865.29700000025, 397528.9963999996 119197.09950000048, 400514.5990000004 119591.39660000056, 401134.0998999998 120595.39919999987, 403126.50239999965 121160.49750000052, 403222.4007000001 119874.59559999965, 405655.1967000002 118001.80169999972, 408978.2037000004 113093.29670000076, 411210.49629999977 114704.99540000036, 413403.0970999999 114212.29639999941, 412995.9972000001 111625.1969000008, 410748.0968000004 110056.49599999934, 410403.4036999997 107116.99740000069, 412061.5020000003 106210.19700000063, 413671.0038999999 107108.39990000054, 414003.4035 104845.99750000052, 414840.4008999998 104108.99840000086, 413941.79640000034 103442.09930000082, 413349.801 101027.80040000007, 413916.40160000045 99619.60349999927, 411804.89919999987 100067.69519999996, 411000.5027999999 101129.50129999965, 409636.5965999998 100794.79710000008, 409025.8024000004 95985.4037999995, 407586.2971999999 97839.60300000012, 406108.0979000004 97089.89760000072, 405770.3967000004 98273.99870000035, 404831.30069999956 97828.99609999917, 404383.6021999996 99907.80100000091, 403060.2039000001 98861.50049999915, 399681.79839999974 99040.89910000004, 400157.0025000004 98729.69820000045, 399438.7999 98113.80450000055, 399141.20270000026 93050.20399999991, 398337.34300000034 92194.37810000032, 396335.1032999996 92133.8962999992, 396697.1026999997 91465.8973999992, 397114.3027999997 91852.89660000056, 396834.20710000023 90717.88279999979, 395658.29920000024 90773.39570000023, 395018.90299999993 89812.40080000088, 396026.20210000034 89556.30409999937, 395000.0959999999 89493.20209999941, 394293.29640000034 87484.29710000008, 395452.89829999954 87455.09549999982, 396245.4960000003 88909.19930000044, 398250.49700000044 89755.09710000083, 398818.7960999999 89104.90320000052, 397751.1023000004 89165.39619999938, 398369.49980000034 87557.59979999997, 396815.4924999997 86516.84229999967, 398349.3964999998 87218.30330000073, 398217.4006000003 86488.50119999982, 398536.89740000013 86939.00329999998, 399287.00009999983 87013.9009000007, 399657.12320000026 86262.84180000052, 400000 86306.3518000003, 400196.60030000005 86331.29979999922, 400397.4036999997 85277.39970000088, 401624.30179999955 86366.19720000029, 401138.0987999998 85582.90139999986, 401883.1967000002 85054.30269999988, 403640.5985000003 86720.09589999914, 404193.42080000043 85961.79590000026, 404211.4877000004 85925.74479999952, 404030.66839999985 84911.05350000039, 403500.4110000003 83378.79700000025, 403709.9014999997 83111.02840000018, 403673.8997999998 82908.99990000017, 403911.1952999998 82853.73680000007, 404295.32210000046 82362.74990000017, 405276.47470000014 82535.7807, 405486.79949999973 82486.79880000092, 403409.8002000004 80330.79969999939, 403356.8219999997 79999.97949999943, 403344.6826999998 79924.1763000004, 403157.29810000025 79701.35190000013, 403210.07299999986 79083.61150000058, 403170.5 78836.49970000051, 403232.3947999999 78822.33029999956, 403240 78733.30990000069, 403865.31489999965 78677.43789999932, 404052.0011999998 78634.70040000044, 403169.7232999997 77162.5203000009, 400000 76793.35219999962, 398230.8099999996 76587.29990000091, 398009.1217 76434.26449999958, 396194.65979999956 75246.1436999999, 395736.0415000003 76549.66389999911, 395581.7026000004 77081.0951000005, 395546.9271999998 77087.17930000089, 395540.38999999966 77105.75989999995, 395332.70040000044 77124.65980000049, 392264.8898 77661.39430000074, 390653.19990000036 79184.0998999998, 390627.7829 79171.13419999927, 390578.6001000004 79224.00100000016, 389762.3997999998 78764.60019999929, 388933.5 79535.39980000071, 387901.3562000003 79507.03690000065, 386862.2204 80000.01090000011, 386123.8700000001 80350.2899999991, 386099.21109999996 80344.35889999941, 386063.00129999965 80387.30010000058, 384812.2653000001 80034.81499999948, 384667.49039999954 79999.99290000089, 383167.3546000002 79639.17129999958, 381059.9458999997 79999.97130000032, 379999.97169999965 80181.44470000081, 377163.2997000003 80667.09860000014, 376138.4992000004 81421.29979999922, 375254.72190000024 81466.44899999909, 370000 81803.23000000045, 369871.85840000026 81643.4746000003, 369698.90020000003 81637.5998999998, 368474.34410000034 80000.03480000049, 368082.7001 79476.30010000058, 368865.7011000002 78975.10290000029, 368802.2472000001 78866.33819999918, 368316.5499999998 78067.44999999925, 368330.47449999955 78057.68439999968, 369384.45859999955 77527.37170000002, 369133.0187999997 77635.68449999951, 368236.70189999975 78040.20050000027, 368221.3184000002 78018.92320000008, 366806.9000000004 76132.69999999925, 366826.7698999997 76090.0951000005, 366794.6001000004 76045.60040000081, 365567.39630000014 76933.39729999937, 363485.50100000016 79923.50070000067, 363273.2416000003 80000.00039999932, 361273.00009999983 80720.90000000037, 361529.9966000002 81386.50139999948, 360626.69969999976 81387.30089999922, 360461.09810000006 82312.8975000009, 360000.0011999998 82529.39350000024, 356871.5 83998.29969999939, 360000.0060999999 81408.00950000063, 361700.63570000045 79999.9495000001, 364525.69880000036 77660.89910000004, 367475.89300000016 74698.24670000002, 367478.2000000002 74693.30000000075, 367481.42650000006 74693.04360000044, 367489.5007999996 74685.90130000003, 369533.71719999984 74529.95009999909, 370197.5 74477.19999999925, 369756.5999999996 74123.40000000037, 370349.0393000003 72893.34970000014, 370437.6640999997 71923.26479999907, 368191.8817999996 68881.64039999992, 367748.1601999998 68729.23589999974, 368051.5014000004 72113.54199999943, 368278.9001000002 73482.79509999976, 368183.26850000024 73583.63639999926, 368184.6500000004 73599.05000000075, 367857.05090000015 73927.62519999966, 364423.9960000003 77547.70150000043, 363470.9313000003 78326.81409999914, 362613.5999999996 79186.69999999925, 361573.7450000001 79999.9495000001, 360000.0076000001 81230.73750000075, 358121.3375000004 82700.00720000081, 355770.10030000005 84622.09979999997, 355264.4310999997 84934.3356999997, 355180.46999999974 85000, 354937.84190000035 85135.99499999918, 346317.99849999975 90458.49579999968, 344727.0120000001 90859.24569999985, 344068.95299999975 91228.09300000034, 339999.9790000003 92136.3758000005, 336984.2715999996 92809.54670000076, 335908.99629999977 93080.3953000009, 333211.53050000034 91403.36060000025, 332829.49899999984 92532.20219999924, 334136.3989000004 95381.39670000039, 332796.40330000035 96893.70380000025, 337605.7969000004 99847.39829999954, 337185.10089999996 100961.1995000001, 332374.09949999955 102220.29910000041, 332873.99760000035 102838.60209999979, 334603.59700000007 105013.6995000001, 337708.3985000001 106050.00280000083, 341738.60080000013 105788.49770000018, 342990.8030000003 107415.00210000016, 344324.49930000026 106222.60339999944, 346789.89630000014 107763.10239999928, 349808.60280000046 107398.49679999985, 349828.1024000002 108204.49609999917, 353628.10259999987 109944.19810000062, 356753.8959999997 109308.69999999925, 357222.29789999966 110408.09530000016, 356218.29679999966 112230.6035999991, 357643.3979000002 114315.89670000039, 356809.09669999965 115863.80360000022, 358073.50150000025 116742.30220000073, 357734.49760000035 119833.3973999992, 358268.4972000001 120384.5996000003, 358953.99980000034 119881.90350000001, 359762.40330000035 120968.1026000008, 361049.4985999996 120162.10329999961, 361811.10309999995 120773.09840000048, 361681.90299999993 122382.29770000093, 363150.7028999999 121522.60380000062, 364841.40220000036 121725.29580000043, 365668.00260000024 119377.1978999991, 368049.0031000003 116756.4980999995, 368992.6997999996 117898.00139999948, 368695.4983000001 118810.60009999946, 370045.00040000025 119195.89980000071, 370955.5025000004 117989.29519999959, 375907.0987 119992.90169999935, 375187.60170000046 121336.49709999934, 373641.8010999998 121331.2985999994, 373339.1991999997 122907.2974999994, 376959.10250000004 126940.30299999937, 375574.0971999997 130000.09720000066, 377269.80119999964 131201.7031999994)))"
Dover,71.3,628964,150942,1.27689,51.2118,320bb1bb-61cb-4ba8-ba57-30d23eca6a9a,"POLYGON ((626514.5023999996 163930.1048000008, 633253.8998999996 161853.19930000044, 634486.5767999999 162526.9171999991, 634999.9977000002 162359.0044999998, 635747.9086999996 159999.97479999997, 636992.7353999997 156073.59420000017, 637772.1670000004 152962.78830000013, 637761.9035999998 145822.79800000042, 636490.4001000002 143531.40000000037, 633976.9992000004 142166.60009999946, 633979.0902000004 142085.55550000072, 633974.5099999998 142083.28800000064, 634050.2314999998 141243.17980000004, 633985.7975000003 141714.90389999934, 633751.0788000003 141659.04529999942, 633690.3090000004 141760.22499999963, 632868.4261999996 141448.99049999937, 632353.3003000002 141326.40020000003, 632281.9276 141226.89240000024, 632239.2999999998 141210.75, 632251.2448000005 141184.1144999992, 631949.6962000001 140763.6961000003, 632663.6624999996 140229.33129999973, 631807.4029000001 140760.49709999934, 632591.1231000004 140234.59249999933, 632017.4500000002 140276.19999999925, 632851.6661999999 139999.98059999943, 633027.0085000005 139941.92259999923, 632227.4376999997 140000.0055999998, 631186.7999 140075.60029999912, 631061.3816 140000.02410000004, 630944.568 139929.63299999945, 626002.3354000002 138198.15719999932, 625624.7037000004 138134.99860000052, 625545.6276000002 138063.2379999999, 624455.6035000002 137981.6024999991, 623767.0997000001 138601.9048999995, 623864.0038999999 140290.10170000046, 622028.7027000003 140888.80030000024, 624660.6003999999 144036.9991999995, 624397.7973999996 144622.3015999999, 623221.5981999999 144257.1961000003, 621784.8963000001 145210.9031000007, 621127.4020999996 144644.7951999996, 619884.6983000003 145423.4023000002, 620103.4974999996 146702.6961000003, 620456.6994000003 148247.40389999934, 621174.3990000002 147532.3986000009, 622359.6018000003 148281.3041999992, 623349.9984999998 147618.60390000045, 625166.2040999997 150287.69989999942, 623357.6004999997 151572.10229999945, 622556.7988999998 151335.10009999946, 624203.6014 155261.49620000087, 622861.7012999998 155733.40110000037, 622955.2002999997 157088.40320000052, 624112.1967000002 158628.3024000004, 623208.3978000004 159578.40049999952, 623517.9008999998 160620.7020999994, 625136.7033000002 162391.0954, 624483.7027000003 163212.40029999986, 625421.1001000004 163524.20099999942, 625259.9999000002 164207.49540000036, 626514.5023999996 163930.1048000008))"
Dudley,60.23,393191,288584,-2.10171,52.4951,adfb3b5f-cdf9-44dd-840d-23b02df5b6ea,"POLYGON ((395082.8021999998 294671.2006000001, 394696.60360000003 291802.30179999955, 396210.8008000003 290486.79839999974, 395728.8027999997 287694.8976000007, 393500.8964999998 285609.10459999926, 396086.8032999998 284892.1997999996, 398551.59839999955 286957.0987999998, 399196.7991000004 284914.60339999944, 398941.4001000002 281632.4028999992, 397581.50100000016 281061.4963000007, 397521.60059999954 282620.1001999993, 396304.70380000025 282592.89800000004, 395848.99930000026 281049.8997000009, 395470.09750000015 281913.9024, 394329.6983000003 281581.69739999995, 393397.1984000001 283038.5003999993, 390847.00100000016 280927.50469999947, 388887.9992000004 281369.3981999997, 388103.80319999997 284109.6038000006, 388723.9967 285967.90190000087, 387067.80310000014 289522.00459999964, 390310.70100000035 291029.3030999992, 389769.89919999987 291989.49819999933, 390899.49729999993 292962.1997999996, 391046.00380000006 295142.79560000077, 391862.3968000002 295460.40469999984, 392755.79860000033 294013.99870000035, 394687.8968000002 295466.7028999999, 395082.8021999998 294671.2006000001))"
Ealing,67.19,517055,181959,-0.3141,51.5244,0f12eea1-6a20-4c94-9a14-6de2614267bb,"POLYGON ((521737.45579999965 182993.86009999923, 521351.82409999985 179500.31340000033, 520355.7937000003 178641.81689999998, 519423.4121000003 179613.24730000086, 518507.6573000001 179448.50009999983, 517290.2037000004 178353.5145999994, 514585.23199999984 179085.74129999988, 513132.8996000001 178093.00430000015, 510676.2324000001 179061.42259999923, 512737.0554999998 182350.04560000077, 509708.5982999997 183564.8783999998, 511379.0613000002 183848.1724999994, 511128.85390000045 184437.4539999999, 512557.90670000017 185256.64059999958, 515485.43479999993 185498.13790000044, 517441.4079999998 184354.92610000074, 517493.84889999963 182932.8764999993, 519212.9874999998 183591.72049999982, 519114.6967000002 182506.1275999993, 521737.45579999965 182993.86009999923))"
East Cambridgeshire,68.62,555576,275765,0.283149,52.3579,5d0f9325-8256-413b-b66a-31466c3e5a30,"POLYGON ((565236.7960999999 284823.5995000005, 561625.5994999995 281731.3046000004, 564037.1974 276449.9964000005, 566460.0003000004 275112.5991999991, 565288.2039999999 272889.3956000004, 565825.6995000001 271416.59720000066, 567612.5032000002 271524.2962999996, 570947.2017000001 268127.59860000014, 570585.2023 266813.1049000006, 565560.2002999997 264733.0002999995, 562592.3987999996 268797.5968999993, 560959.1017000005 269220.19590000063, 559771.2028000001 265858.09830000065, 561262.7012999998 263873.0965, 560045.3015999999 263045.5033999998, 562052.8008000003 261353.29780000076, 565424.3958999999 262927.0973000005, 564928.7028999999 263820.10160000063, 565756.9028000003 264487.0007000007, 569479.1025999999 262283.90139999986, 570450.4038000004 263049.4023000002, 571833.3974000001 261707.8962999992, 570488.1002000002 254794.69510000013, 569086.2006999999 254541.49760000035, 567780.9993000003 255604.40340000018, 566719.3981999997 254042.40049999952, 565445.2971999999 253978.79869999923, 563920.8019000003 253779.39580000006, 558855.3002000004 255937.99789999984, 552067.7019999996 261609.30450000055, 552337.9999000002 262161.3964000009, 550995.102 263553.39800000004, 551639.7998000002 265140.5036999993, 551001.5001999997 265830.89609999955, 552982.4008 268254.90220000036, 553359.2991000004 271795.9986000005, 550375.7989999996 271029.7979000006, 549832.4000000004 271849.0033999998, 547885.3041000003 271040.3048999999, 547442.0000999998 271777.8037999999, 545943.9961999999 271332.80120000057, 541945.7022000002 272801.4008000009, 539298.6005999995 274721.70109999925, 539792.4962999998 275324.79849999957, 538552.4967999998 278358.50009999983, 539996.2977 279744.4034000002, 539078.5976999998 281976.8043000009, 539881.0976999998 281588.79539999925, 542014.2022000002 283356.29949999973, 543338.6969999997 282901.89949999936, 544646.0998999998 284333.4997000005, 544522.4982000003 282450.39880000055, 551873.2999999998 292281.0047999993, 552558.5965 291478.60449999943, 553239.6962000001 292370.6991000008, 556807.4001000002 293141.19859999977, 560767.7998000002 291883.59860000014, 561773.1036 289508.0985000003, 565113.3015000001 286848.59979999997, 565236.7960999999 284823.5995000005))"
